ID,Date,RRP,Gen_Fcst,Wind_Fcst,Gen_Mac,Gen_Oak,Gen_Chall,Gen_Crow,Gen_Port,Gen_Yamb,Gen_Yal,Gen_Waub,Gen_Total,PPA_Act,Blunt_Act,Sharp_Act,P&L,PPA_Mac,PPA_Oak,PPA_Chall,PPA_Crow,PPA_Port,PPA_Yamb,PPA_Yal,PPA_Waub,RRP_Gen
92,4/1/2021,34.22833333,596.8671262,286.70325,179.3338361,105.3900706,0,0,0,0,0,0,284.7239067,-3546.735278,0,0,-3546.735278,-2319.690825,-1227.044453,0,0,0,0,0,0,9635.981603
93,4/2/2021,22.32270833,596.8671262,286.70325,122.5514156,149.1726527,0,0,0,0,0,0,271.7240683,-6545.901182,50,0,-6495.901182,-4186.073263,-2359.827919,0,0,0,0,0,0,6034.923178
94,4/3/2021,10.13020833,596.8671262,286.70325,493.1363615,531.8640581,0,0,0,0,0,0,1025.00042,-45601.25452,11950,0,-33651.25452,-22577.93857,-23023.31596,0,0,0,0,0,0,1856.264907
95,4/4/2021,23.045,596.8671262,286.70325,41.86381581,179.6520304,0,0,0,0,0,0,221.5158462,-6271.861535,0,0,-6271.861535,-1718.929868,-4552.931668,0,0,0,0,0,0,3984.322143
96,4/5/2021,23.38583333,596.8671262,286.70325,107.4557501,239.3907448,0,0,0,0,0,0,346.8464949,-6444.512673,0,0,-6444.512673,-2455.050286,-3989.462387,0,0,0,0,0,0,9614.48004
97,4/6/2021,32.21125,596.8671262,286.70325,186.4046683,276.3007889,0,0,0,0,0,0,462.7054572,-6854.821709,300,0,-6554.821709,-2630.318215,-4224.503494,0,0,0,0,0,0,14568.44096
98,4/7/2021,48.766875,596.8671262,286.70325,61.56887461,116.6774074,0,0,0,0,0,0,178.246282,-1466.400091,0,0,-1466.400091,-405.2927652,-1061.107326,0,0,0,0,0,0,6786.402766
99,4/8/2021,35.84270833,596.8671262,286.70325,291.9804749,245.6503809,0,0,0,0,0,0,537.6308558,-8052.12918,1950,0,-6102.12918,-4866.113989,-3186.015191,0,0,0,0,0,0,16840.17944
100,4/9/2021,28.87770833,596.8671262,286.70325,170.8823137,345.8211083,0,0,0,0,0,0,516.703422,-12363.1632,7750,0,-4613.163198,-3643.393774,-8719.769424,0,0,0,0,0,0,11560.20524
101,4/10/2021,-4.33375,596.8671262,286.70325,549.1052505,852.551096,0,0,0,0,0,0,1401.656347,-81662.50579,26000,0,-55662.50579,-32977.33993,-48685.16586,0,0,0,0,0,0,-16765.81695
102,4/11/2021,-1.01,596.8671262,286.70325,513.7857469,862.1923305,0,0,0,0,0,0,1375.978077,-80778.04029,24150,0,-56628.04029,-30899.76988,-49878.27041,0,0,0,0,0,0,-17070.25531
103,4/12/2021,39.80104167,596.8671262,286.70325,48.96947957,125.2400057,0,0,0,0,0,0,174.2094853,-5230.936987,200,0,-5030.936987,-1184.542335,-4046.394652,0,0,0,0,0,0,2834.962182
104,4/13/2021,12.10041667,596.8671262,286.70325,731.9230476,1130.527465,0,0,0,0,0,0,1862.450513,-66669.73987,23900,0,-42769.73987,-26516.96576,-40152.77411,0,0,0,0,0,0,19561.71886
105,4/14/2021,6.30875,596.8671262,286.70325,590.6147694,906.1504495,0,0,0,0,0,0,1496.765219,-75485.50355,23700,0,-51785.50355,-29241.84675,-46243.6568,0,0,0,0,0,0,-6185.273911
106,4/15/2021,28.48083333,596.8671262,286.70325,345.3784159,629.5366345,0,0,0,0,0,0,974.9150504,-23958.18517,9550,0,-14408.18517,-9307.311594,-14650.87358,0,0,0,0,0,0,21180.38166
107,4/16/2021,46.235,596.8671262,286.70325,30.06555015,84.98323417,0,0,0,0,0,0,115.0487843,-1001.047255,0,0,-1001.047255,-102.0653772,-898.9818777,0,0,0,0,0,0,4325.711459
108,4/17/2021,54.3025,596.8671262,286.70325,79.36206017,87.00013611,0,0,0,0,0,0,166.3621963,-1119.141399,50,0,-1069.141399,-740.000701,-379.1406976,0,0,0,0,0,0,6583.428289
109,4/18/2021,70.55145833,596.8671262,286.70325,125.3698786,204.0087439,0,0,0,0,0,0,329.3786226,5568.020783,250,0,5818.020783,2105.467572,3462.553211,0,0,0,0,0,0,20818.25101
110,4/19/2021,70.83375,596.8671262,286.70325,379.8076023,355.4623428,0,0,0,0,0,0,735.2699451,11573.91496,1400,0,12973.91496,6553.692827,5020.222135,0,0,0,0,0,0,45616.91342
111,4/20/2021,52.57083333,596.8671262,286.70325,352.8285275,708.9521112,0,0,0,0,0,0,1061.780639,-4474.624923,5200,0,725.3750769,-5198.78876,724.1638367,0,0,0,0,0,0,44685.81865
112,4/21/2021,122.9429167,596.8671262,286.70325,204.4010385,196.3265639,0,0,0,0,0,0,400.7276024,29151.66447,0,0,29151.66447,15374.62493,13777.03954,0,0,0,0,0,0,47705.35246
113,4/22/2021,72.36,596.8671262,286.70325,369.8834753,559.4206272,0,0,0,0,0,0,929.3041025,16955.15223,3200,0,20155.15223,6743.257631,10211.8946,0,0,0,0,0,0,59981.93218
114,4/23/2021,142.316875,596.8671262,286.70325,141.9110596,151.2676449,0,0,0,0,0,0,293.1787045,20504.79585,0,0,20504.79585,10663.55116,9841.244693,0,0,0,0,0,0,34078.96987
115,4/24/2021,57.30729167,596.8671262,286.70325,152.0693339,180.8414854,0,0,0,0,0,0,332.9108193,-542.05125,50,0,-492.05125,68.82593866,-610.8771887,0,0,0,0,0,0,14871.71968
116,4/25/2021,58.74166667,596.8671262,286.70325,43.50090462,34.81926303,0,0,0,0,0,0,78.32016765,1284.578199,0,0,1284.578199,331.8854098,952.6927888,0,0,0,0,0,0,4910.801961
117,4/26/2021,82.73916667,596.8671262,286.70325,38.02265427,25.22464629,0,0,0,0,0,0,63.24730056,1800.259347,0,0,1800.259347,681.8656101,1118.393736,0,0,0,0,0,0,4728.609362
118,4/27/2021,90.82229167,596.8671262,286.70325,1.373916577,-5.40795683,0,0,0,0,0,0,-4.034040253,-31.79827312,0,0,-31.79827312,206.2654536,-238.0637267,0,0,0,0,0,0,-218.5743368
119,4/28/2021,84.23458333,596.8671262,286.70325,6.500946967,-5.452284345,0,0,0,0,0,0,1.048662622,-188.5230434,0,0,-188.5230434,15.59112613,-204.1141695,0,0,0,0,0,0,-139.969964
120,4/29/2021,89.65645833,596.8671262,286.70325,4.980930833,-6.102421232,0,0,0,0,0,0,-1.121490399,243.3668184,0,0,243.3668184,495.43309,-252.0662716,0,0,0,0,0,0,191.4418129
121,4/30/2021,47.788125,596.8671262,286.70325,185.2929561,165.7701303,0,0,0,0,0,0,351.0630864,684.4036495,0,0,684.4036495,-354.6236978,1039.027347,0,0,0,0,0,0,16938.62455
122,5/1/2021,13.59791667,842.4261415,348.5930645,456.9278558,730.0667841,0,0,0,0,0,0,1186.99464,-41266.12768,15750,0,-25516.12768,-15980.43102,-25285.69666,0,0,0,0,0,0,13691.72415
123,5/2/2021,11.30270833,842.4261415,348.5930645,365.4646883,652.1611765,0,0,0,0,0,0,1017.625865,-34572.83239,14000,0,-20572.83239,-12262.19301,-22310.63938,0,0,0,0,0,0,12543.24515
123,5/3/2021,48.59708333,842.4261415,348.5930645,190.8989238,322.1062571,0,0,0,0,0,0,513.0051809,-632.7256335,800,0,167.2743665,-468.0327395,-164.6928941,0,0,0,0,0,0,23119.41424
125,5/4/2021,42.735625,842.4261415,348.5930645,430.6783108,929.7400754,0,0,0,0,0,0,1360.418386,-14394.24063,8350,0,-6044.240632,-6707.360673,-7686.87996,0,0,0,0,0,0,48593.13065
126,5/5/2021,31.61645833,842.4261415,348.5930645,90.82749094,255.8140891,0,0,0,0,0,0,346.64158,-4930.178147,50,0,-4880.178147,-766.3582816,-4163.819865,0,0,0,0,0,0,11119.32701
127,5/6/2021,57.37833333,842.4261415,348.5930645,141.2898952,94.84610626,0,0,0,0,0,0,236.1360015,-2511.857338,200,0,-2311.857338,-981.1254054,-1530.731933,0,0,0,0,0,0,8421.239529
128,5/7/2021,70.259375,842.4261415,348.5930645,220.3762043,162.1181341,0,0,0,0,0,0,382.4943384,-3277.243671,100,0,-3177.243671,-2046.709403,-1230.534268,0,0,0,0,0,0,14432.2442
129,5/8/2021,59.0525,842.4261415,348.5930645,140.0727218,212.168479,0,0,0,0,0,0,352.2412008,1274.881651,0,0,1274.881651,354.8990513,919.9825994,0,0,0,0,0,0,17583.64925
130,5/9/2021,40.89604167,842.4261415,348.5930645,332.7132278,453.8398744,0,0,0,0,0,0,786.5531022,-12453.0148,2850,0,-9603.014802,-4636.704705,-7816.310098,0,0,0,0,0,0,23964.39383
131,5/10/2021,46.74708333,842.4261415,348.5930645,260.8099862,929.4519466,0,0,0,0,0,0,1190.261933,-18956.704,8250,0,-10706.704,-14993.0126,-3963.691404,0,0,0,0,0,0,36152.42349
132,5/11/2021,67.054375,842.4261415,348.5930645,18.12505473,771.0845113,0,0,0,0,0,0,789.2095661,10901.45194,2100,0,13001.45194,-227.6506874,11129.10262,0,0,0,0,0,0,47441.85485
133,5/12/2021,159.82375,842.4261415,348.5930645,0,202.9609153,0,0,0,0,0,0,202.9609153,6823.196599,0,0,6823.196599,0,6823.196599,0,0,0,0,0,0,16220.28698
134,5/13/2021,51.76270833,842.4261415,348.5930645,0,693.8068769,0,0,0,0,0,0,693.8068769,2494.040497,1450,0,3944.040497,0,2494.040497,0,0,0,0,0,0,34617.2989
135,5/14/2021,49.81645833,842.4261415,348.5930645,0,793.7210957,0,0,0,0,0,0,793.7210957,2159.996987,4200,0,6359.996987,0,2159.996987,0,0,0,0,0,0,38909.28372
136,5/15/2021,47.15020833,842.4261415,348.5930645,0,624.0132045,0,0,0,0,0,0,624.0132045,-7087.463872,7950,0,862.5361284,0,-7087.463872,0,0,0,0,0,0,21804.3475
137,5/16/2021,40.695,842.4261415,348.5930645,0,716.1996599,0,0,0,0,0,0,716.1996599,-4947.665529,4250,0,-697.6655291,0,-4947.665529,0,0,0,0,0,0,28212.37872
138,5/17/2021,244.3016667,842.4261415,348.5930645,0,200.3086524,0,0,0,0,0,0,200.3086524,-1241.437789,2900,0,1658.562211,0,-1241.437789,0,0,0,0,0,0,8032.852816
139,5/18/2021,438.75,842.4261415,348.5930645,0,81.34099003,0,0,0,0,0,0,81.34099003,48785.17797,0,0,48785.17797,0,48785.17797,0,0,0,0,0,0,52551.26581
140,5/19/2021,50.70770833,842.4261415,348.5930645,0,677.0510762,0,0,0,0,0,0,677.0510762,180.4075929,4200,0,4380.407593,0,180.4075929,0,0,0,0,0,0,31527.87242
